,week,ranking,country,player,age,points,(+/-),tournaments_played
0,2024-04-22,1,srb,Novak Djokovic,36,"9,990",-45,17
1,2024-04-22,2,ita,Jannik Sinner,22,"8,660",-90,19
2,2024-04-22,3,esp,Carlos Alcaraz,20,"8,145",-500,17
3,2024-04-22,4,rus,Daniil Medvedev,28,"7,085",0,19
4,2024-04-22,5,ger,Alexander Zverev,27,"5,425",0,26
5,2024-04-22,6,nor,Casper Ruud,25,"4,480",455,24
6,2024-04-22,7,gre,Stefanos Tsitsipas,25,"4,030",35,25
7,2024-04-22,8,rus,Andrey Rublev,26,"3,830",-105,24
8,2024-04-22,9,pol,Hubert Hurkacz,27,"3,675",0,24
9,2024-04-22,10,bul,Grigor Dimitrov,32,"3,640",0,22
10,2024-04-22,11,aus,Alex de Minaur,25,"3,470",-40,25
11,2024-04-22,12,den,Holger Rune,20,"3,245",-150,23
12,2024-04-22,13,usa,Taylor Fritz,26,"2,560",110,25
13,2024-04-22,14,fra,Ugo Humbert,25,"2,535",0,29
14,2024-04-22,15,usa,Ben Shelton,21,"2,480",-10,25
15,2024-04-22,16,usa,Tommy Paul,26,"2,350",0,26
16,2024-04-22,17,rus,Karen Khachanov,27,"2,080",-35,22
17,2024-04-22,18,kaz,Alexander Bublik,26,"1,992",0,28
18,2024-04-22,19,arg,Sebastian Baez,23,"1,955",0,29
19,2024-04-22,20,fra,Adrian Mannarino,35,"1,875",0,28
20,2024-04-22,21,usa,Frances Tiafoe,26,"1,685",0,22
21,2024-04-22,22,arg,Francisco Cerundolo,25,"1,680",-40,27
22,2024-04-22,23,chi,Nicolas Jarry,28,"1,675",-10,25
23,2024-04-22,24,ger,Jan-Lennard Struff,33,"1,628",240,25
24,2024-04-22,25,ned,Tallon Griekspoor,27,"1,505",0,25
25,2024-04-22,26,usa,Sebastian Korda,23,"1,485",0,25
26,2024-04-22,27,arg,Tomas Martin Etcheverry,24,"1,475",180,29
27,2024-04-22,28,esp,Alejandro Davidovich Fokina,24,"1,355",-40,24
28,2024-04-22,29,ita,Lorenzo Musetti,22,"1,355",-155,29
29,2024-04-22,30,gbr,Cameron Norrie,28,"1,345",55,25
30,2024-04-22,31,cze,Jiri Lehecka,22,"1,305",-25,25
31,2024-04-22,32,fra,Arthur Fils,19,"1,273",88,29
32,2024-04-22,33,aus,Jordan Thompson,30,"1,256",21,29
33,2024-04-22,34,cro,Borna Coric,27,"1,244",0,24
34,2024-04-22,35,can,Felix Auger-Aliassime,23,"1,240",40,24
35,2024-04-22,36,ita,Matteo Arnaldi,23,"1,191",70,24
36,2024-04-22,37,hun,Fabian Marozsan,24,"1,164",42,25
37,2024-04-22,38,chi,Alejandro Tabilo,26,"1,151",50,24
38,2024-04-22,39,srb,Laslo Djere,28,"1,150",-35,24
39,2024-04-22,40,fra,Gael Monfils,37,"1,142",0,23
40,2024-04-22,41,arg,Mariano Navone,23,"1,141",165,21
41,2024-04-22,42,rus,Roman Safiullin,26,"1,139",0,23
42,2024-04-22,43,gbr,Jack Draper,22,"1,106",40,21
43,2024-04-22,44,usa,Christopher Eubanks,27,"1,087",0,27
44,2024-04-22,45,aut,Sebastian Ofner,27,"1,076",-5,32
45,2024-04-22,46,aus,Alexei Popyrin,24,"1,057",-20,22
46,2024-04-22,47,arg,Facundo Diaz Acosta,23,"1,048",90,28
47,2024-04-22,48,rus,Aslan Karatsev,30,"1,041",-32,16
48,2024-04-22,49,chn,Zhizhen Zhang,27,"1,038",-6,25
49,2024-04-22,50,cze,Tomas Machac,23,"1,013",25,23
50,2024-04-22,51,usa,Marcos Giron,30,995,-35,28
51,2024-04-22,52,ita,Lorenzo Sonego,28,976,-10,28
52,2024-04-22,53,hun,Marton Fucsovics,32,942,230,22
53,2024-04-22,54,ger,Dominik Koepfer,29,938,0,25
54,2024-04-22,55,esp,Pedro Martinez,26,937,40,29
55,2024-04-22,56,por,Nuno Borges,27,916,5,29
56,2024-04-22,57,gbr,Andy Murray,36,910,0,26
57,2024-04-22,58,ger,Yannick Hanfmann,32,899,5,29
58,2024-04-22,59,kaz,Alexander Shevchenko,23,879,0,32
59,2024-04-22,60,ita,Luciano Darderi,22,875,0,29
60,2024-04-22,61,ger,Daniel Altmaier,25,871,15,28
61,2024-04-22,62,aus,Aleksandar Vukic,28,857,0,31
62,2024-04-22,63,bra,Thiago Seyboth Wild,24,849,18,25
63,2024-04-22,64,ita,Flavio Cobolli,21,848,-32,31
64,2024-04-22,65,srb,Dusan Lajovic,33,846,-50,23
65,2024-04-22,66,srb,Miomir Kecmanovic,24,830,-65,31
66,2024-04-22,67,aus,Christopher O'Connell,29,822,-74,30
67,2024-04-22,68,esp,Roberto Carballes Baena,31,821,50,31
68,2024-04-22,69,gbr,Daniel Evans,33,816,-180,27
69,2024-04-22,70,usa,Alex Michelsen,19,799,9,27
70,2024-04-22,71,fin,Emil Ruusuvuori,25,795,-35,23
71,2024-04-22,72,rus,Pavel Kotov,25,787,-30,21
72,2024-04-22,73,esp,Jaume Munar,26,785,15,29
73,2024-04-22,74,cze,Jakub Mensik,18,766,0,24
74,2024-04-22,75,fra,Arthur Cazaux,21,748,0,25
75,2024-04-22,76,usa,Mackenzie McDonald,29,745,0,24
76,2024-04-22,77,fra,Arthur Rinderknech,28,744,15,32
77,2024-04-22,78,jpn,Yoshihito Nishioka,28,743,-45,22
78,2024-04-22,79,aus,Rinky Hijikata,23,743,5,33
79,2024-04-22,80,aus,Max Purcell,26,731,0,31
80,2024-04-22,81,usa,Brandon Nakashima,22,725,30,30
81,2024-04-22,82,ind,Sumit Nagal,26,725,-4,27
82,2024-04-22,83,arg,Federico Coria,32,720,9,32
83,2024-04-22,84,ita,Luca Nardi,20,718,0,26
84,2024-04-22,85,jpn,Taro Daniel,31,717,15,28
85,2024-04-22,86,esp,Roberto Bautista Agut,36,708,5,26
86,2024-04-22,87,sui,Stan Wawrinka,39,697,0,23
87,2024-04-22,88,fra,Corentin Moutet,25,695,43,32
88,2024-04-22,89,col,Daniel Elahi Galan,27,666,15,29
89,2024-04-22,90,fra,Constant Lestienne,31,658,0,33
90,2024-04-22,91,arg,Pedro Cachin,29,653,-20,27
91,2024-04-22,92,chi,Cristian Garin,27,653,55,23
92,2024-04-22,93,aus,Thanasi Kokkinakis,28,650,0,26
93,2024-04-22,94,ita,Fabio Fognini,36,650,8,22
94,2024-04-22,95,fra,Hugo Gaston,23,642,0,28
95,2024-04-22,96,arg,Francisco Comesana,23,642,109,27
96,2024-04-22,97,usa,Aleksandar Kovacevic,25,638,0,30
97,2024-04-22,98,ita,Matteo Berrettini,28,630,0,16
98,2024-04-22,99,fra,Luca Van Assche,19,630,5,25
99,2024-04-22,100,ger,Maximilian Marterer,28,616,0,24
100,2024-04-15,1,srb,Novak Djokovic,36,"10,035",310,18
101,2024-04-15,2,ita,Jannik Sinner,22,"8,750",40,20
102,2024-04-15,3,esp,Carlos Alcaraz,20,"8,645",0,18
103,2024-04-15,4,rus,Daniil Medvedev,28,"7,085",-80,19
104,2024-04-15,5,ger,Alexander Zverev,26,"5,425",10,26
105,2024-04-15,6,nor,Casper Ruud,25,"4,025",560,24
106,2024-04-15,7,gre,Stefanos Tsitsipas,25,"3,995",820,25
107,2024-04-15,8,rus,Andrey Rublev,26,"3,935",-955,24
108,2024-04-15,9,pol,Hubert Hurkacz,27,"3,675",10,24
109,2024-04-15,10,bul,Grigor Dimitrov,32,"3,640",100,23
110,2024-04-15,11,aus,Alex de Minaur,25,"3,510",155,25
111,2024-04-15,12,den,Holger Rune,20,"3,395",-400,23
112,2024-04-15,13,fra,Ugo Humbert,25,"2,535",110,29
113,2024-04-15,14,usa,Ben Shelton,21,"2,490",0,26
114,2024-04-15,15,usa,Taylor Fritz,26,"2,450",-315,25
115,2024-04-15,16,usa,Tommy Paul,26,"2,350",0,26
116,2024-04-15,17,rus,Karen Khachanov,27,"2,115",110,23
117,2024-04-15,18,kaz,Alexander Bublik,26,"1,992",0,29
118,2024-04-15,19,arg,Sebastian Baez,23,"1,955",0,29
119,2024-04-15,20,fra,Adrian Mannarino,35,"1,875",0,29
120,2024-04-15,21,arg,Francisco Cerundolo,25,"1,720",5,27
121,2024-04-15,22,chi,Nicolas Jarry,28,"1,685",-70,25
122,2024-04-15,23,usa,Frances Tiafoe,26,"1,685",0,23
123,2024-04-15,24,ita,Lorenzo Musetti,22,"1,510",-80,29
124,2024-04-15,25,ned,Tallon Griekspoor,27,"1,505",30,25
125,2024-04-15,26,usa,Sebastian Korda,23,"1,485",40,24
126,2024-04-15,27,esp,Alejandro Davidovich Fokina,24,"1,395",0,24
127,2024-04-15,28,ger,Jan-Lennard Struff,33,"1,388",-105,25
128,2024-04-15,29,cze,Jiri Lehecka,22,"1,330",-70,26
129,2024-04-15,30,arg,Tomas Martin Etcheverry,24,"1,295",35,29
130,2024-04-15,31,gbr,Cameron Norrie,28,"1,290",0,25
131,2024-04-15,32,cro,Borna Coric,27,"1,244",40,24
132,2024-04-15,33,aus,Jordan Thompson,29,"1,235",0,29
133,2024-04-15,34,can,Felix Auger-Aliassime,23,"1,200",50,23
134,2024-04-15,35,srb,Laslo Djere,28,"1,185",0,25
135,2024-04-15,36,fra,Arthur Fils,19,"1,185",40,28
136,2024-04-15,37,fra,Gael Monfils,37,"1,142",50,24
137,2024-04-15,38,rus,Roman Safiullin,26,"1,139",50,23
138,2024-04-15,39,hun,Fabian Marozsan,24,"1,122",0,24
139,2024-04-15,40,ita,Matteo Arnaldi,23,"1,121",0,24
140,2024-04-15,41,chi,Alejandro Tabilo,26,"1,101",50,24
141,2024-04-15,42,usa,Christopher Eubanks,27,"1,087",0,27
142,2024-04-15,43,aut,Sebastian Ofner,27,"1,081",25,32
143,2024-04-15,44,aus,Alexei Popyrin,24,"1,077",30,22
144,2024-04-15,45,rus,Aslan Karatsev,30,"1,073",0,17
145,2024-04-15,46,gbr,Jack Draper,22,"1,066",-35,20
146,2024-04-15,47,chn,Zhizhen Zhang,27,"1,044",39,25
147,2024-04-15,48,usa,Marcos Giron,30,"1,030",0,29
148,2024-04-15,49,gbr,Daniel Evans,33,996,0,27
149,2024-04-15,50,cze,Tomas Machac,23,988,-45,22
150,2024-04-15,51,ita,Lorenzo Sonego,28,986,71,28
151,2024-04-15,52,arg,Mariano Navone,23,976,0,21
152,2024-04-15,53,arg,Facundo Diaz Acosta,23,958,15,28
153,2024-04-15,54,ger,Dominik Koepfer,29,938,0,25
154,2024-04-15,55,por,Nuno Borges,27,911,0,29
155,2024-04-15,56,gbr,Andy Murray,36,910,0,26
156,2024-04-15,57,esp,Pedro Martinez,26,897,0,29
157,2024-04-15,58,aus,Christopher O'Connell,29,896,10,30
158,2024-04-15,59,srb,Dusan Lajovic,33,896,-26,23
159,2024-04-15,60,srb,Miomir Kecmanovic,24,895,40,31
160,2024-04-15,61,ger,Yannick Hanfmann,32,894,6,29
161,2024-04-15,62,ita,Flavio Cobolli,21,880,0,31
162,2024-04-15,63,kaz,Alexander Shevchenko,23,879,-55,32
163,2024-04-15,64,ita,Luciano Darderi,22,875,0,29
164,2024-04-15,65,aus,Aleksandar Vukic,28,857,1,30
165,2024-04-15,66,ger,Daniel Altmaier,25,856,-99,28
166,2024-04-15,67,bra,Thiago Seyboth Wild,24,831,0,25
167,2024-04-15,68,fin,Emil Ruusuvuori,25,830,-6,24
168,2024-04-15,69,rus,Pavel Kotov,25,817,0,21
169,2024-04-15,70,usa,Alex Michelsen,19,790,0,27
170,2024-04-15,71,jpn,Yoshihito Nishioka,28,788,0,22
171,2024-04-15,72,esp,Roberto Carballes Baena,31,771,0,31
