week,ranking,country,player,age,points,(+/-),tournaments_played
2024-04-22,1,srb,Novak Djokovic,36,"9,990",-45,17
2024-04-22,2,ita,Jannik Sinner,22,"8,660",-90,19
2024-04-22,3,esp,Carlos Alcaraz,20,"8,145",-500,17
2024-04-22,4,rus,Daniil Medvedev,28,"7,085",-,19
2024-04-22,5,ger,Alexander Zverev,27,"5,425",-,26
2024-04-22,6,nor,Casper Ruud,25,"4,480",+455,24
2024-04-22,7,gre,Stefanos Tsitsipas,25,"4,030",+35,25
2024-04-22,8,rus,Andrey Rublev,26,"3,830",-105,24
2024-04-22,9,pol,Hubert Hurkacz,27,"3,675",-,24
2024-04-22,10,bul,Grigor Dimitrov,32,"3,640",-,22
2024-04-22,11,aus,Alex de Minaur,25,"3,470",-40,25
2024-04-22,12,den,Holger Rune,20,"3,245",-150,23
2024-04-22,13,usa,Taylor Fritz,26,"2,560",+110,25
2024-04-22,14,fra,Ugo Humbert,25,"2,535",-,29
2024-04-22,15,usa,Ben Shelton,21,"2,480",-10,25
2024-04-22,16,usa,Tommy Paul,26,"2,350",-,26
2024-04-22,17,rus,Karen Khachanov,27,"2,080",-35,22
2024-04-22,18,kaz,Alexander Bublik,26,"1,992",-,28
2024-04-22,19,arg,Sebastian Baez,23,"1,955",-,29
2024-04-22,20,fra,Adrian Mannarino,35,"1,875",-,28
2024-04-22,21,usa,Frances Tiafoe,26,"1,685",-,22
2024-04-22,22,arg,Francisco Cerundolo,25,"1,680",-40,27
2024-04-22,23,chi,Nicolas Jarry,28,"1,675",-10,25
2024-04-22,24,ger,Jan-Lennard Struff,33,"1,628",+240,25
2024-04-22,25,ned,Tallon Griekspoor,27,"1,505",-,25
2024-04-22,26,usa,Sebastian Korda,23,"1,485",-,25
2024-04-22,27,arg,Tomas Martin Etcheverry,24,"1,475",+180,29
2024-04-22,28,esp,Alejandro Davidovich Fokina,24,"1,355",-40,24
2024-04-22,29,ita,Lorenzo Musetti,22,"1,355",-155,29
2024-04-22,30,gbr,Cameron Norrie,28,"1,345",+55,25
2024-04-22,31,cze,Jiri Lehecka,22,"1,305",-25,25
2024-04-22,32,fra,Arthur Fils,19,"1,273",+88,29
2024-04-22,33,aus,Jordan Thompson,30,"1,256",+21,29
2024-04-22,34,cro,Borna Coric,27,"1,244",-,24
2024-04-22,35,can,Felix Auger-Aliassime,23,"1,240",+40,24
2024-04-22,36,ita,Matteo Arnaldi,23,"1,191",+70,24
2024-04-22,37,hun,Fabian Marozsan,24,"1,164",+42,25
2024-04-22,38,chi,Alejandro Tabilo,26,"1,151",+50,24
2024-04-22,39,srb,Laslo Djere,28,"1,150",-35,24
2024-04-22,40,fra,Gael Monfils,37,"1,142",-,23
2024-04-22,41,arg,Mariano Navone,23,"1,141",+165,21
2024-04-22,42,rus,Roman Safiullin,26,"1,139",-,23
2024-04-22,43,gbr,Jack Draper,22,"1,106",+40,21
2024-04-22,44,usa,Christopher Eubanks,27,"1,087",-,27
2024-04-22,45,aut,Sebastian Ofner,27,"1,076",-5,32
2024-04-22,46,aus,Alexei Popyrin,24,"1,057",-20,22
2024-04-22,47,arg,Facundo Diaz Acosta,23,"1,048",+90,28
2024-04-22,48,rus,Aslan Karatsev,30,"1,041",-32,16
2024-04-22,49,chn,Zhizhen Zhang,27,"1,038",-6,25
2024-04-22,50,cze,Tomas Machac,23,"1,013",+25,23
2024-04-22,51,usa,Marcos Giron,30,995,-35,28
2024-04-22,52,ita,Lorenzo Sonego,28,976,-10,28
2024-04-22,53,hun,Marton Fucsovics,32,942,+230,22
2024-04-22,54,ger,Dominik Koepfer,29,938,-,25
2024-04-22,55,esp,Pedro Martinez,26,937,+40,29
2024-04-22,56,por,Nuno Borges,27,916,+5,29
2024-04-22,57,gbr,Andy Murray,36,910,-,26
2024-04-22,58,ger,Yannick Hanfmann,32,899,+5,29
2024-04-22,59,kaz,Alexander Shevchenko,23,879,-,32
2024-04-22,60,ita,Luciano Darderi,22,875,-,29
2024-04-22,61,ger,Daniel Altmaier,25,871,+15,28
2024-04-22,62,aus,Aleksandar Vukic,28,857,-,31
2024-04-22,63,bra,Thiago Seyboth Wild,24,849,+18,25
2024-04-22,64,ita,Flavio Cobolli,21,848,-32,31
2024-04-22,65,srb,Dusan Lajovic,33,846,-50,23
2024-04-22,66,srb,Miomir Kecmanovic,24,830,-65,31
2024-04-22,67,aus,Christopher O'Connell,29,822,-74,30
2024-04-22,68,esp,Roberto Carballes Baena,31,821,+50,31
2024-04-22,69,gbr,Daniel Evans,33,816,-180,27
2024-04-22,70,usa,Alex Michelsen,19,799,+9,27
2024-04-22,71,fin,Emil Ruusuvuori,25,795,-35,23
2024-04-22,72,rus,Pavel Kotov,25,787,-30,21
2024-04-22,73,esp,Jaume Munar,26,785,+15,29
2024-04-22,74,cze,Jakub Mensik,18,766,-,24
